diagnostic_id,artwork_id,verdict_type,indigestibility_score,core_stability,camouflage_quality,breakthrough_strategy,diagnostic_logic,created_date,cleaned_text,cluster_id,silhouette,cluster_label,pca_x,pca_y,dist_to_center
14,5,True_Flight,0.9,0.95,0.98,Haptic_Catatonia,以超写实技艺与古典大理石材质为伪装，利用“触觉视觉性”制造视觉柔软与触觉坚硬的绝对断裂，诱发触觉紧张症，面壁姿态切断叙事交流，转化为不可被语言消化的感官黑洞，拒斥资本降维为忧郁奇观或极简装饰。,2026-04-14 07:32:36,haptic catatonia,4,1.0,haptic/visual channel/violence exposure,0.7645994527135147,0.22913890096836462,0.0
15,1,True_Flight,0.65,0.7,0.85,Haptic_Contamination,伪装为跨文化女性气质奇观，内核为亚麻布暖灰底色对工业制服的“不洁”污染，通过触觉僭越视觉在物质层面实施微观反噬。,2026-04-14 07:34:48,haptic contamination,5,-0.10833931035572673,haptic/material/subversion,0.15556756362460836,-0.012672318835050699,0.958955237830549
16,2,True_Flight,0.75,0.85,0.9,Semiotic_Suspension,伪装为知识分子漫游者肖像，内核为亚麻布“空无”对巨型文化符号的悬置，以及“笔”作为功能性刺点对视觉神话的刺破。,2026-04-14 07:34:48,semiotic suspension,6,0.4008319191063841,semiotic/glitch/semiotic glitch,-0.17386165703458736,-0.5197985505264526,0.6857773379167769
17,3,True_Flight,0.8,0.9,0.95,Chromopolitical_Friction,伪装为社会关怀的甜美装饰画，内核为哑光制服蓝与厚涂粉红门之间的物质性色域对抗，利用色彩的物理政治在感觉层面发动沉默的微观阶级斗争。,2026-04-14 07:34:48,chromopolitical friction,5,0.031240659862436976,haptic/material/subversion,-0.08524489082969358,-0.11877015508471298,1.0016120619306879
22,16,True_Flight,0.68,0.87,0.92,Material_Obsession_Rhythm_Glitch,以大尺幅极简绘画与高品牌辨识度为伪装，内核处保留笔触中强迫性重复的病理性痕迹与节奏故障，这些肉身痕迹无法被画廊黑话完全翻译，持续释放感觉暴力，拒斥被降维为装饰品或情绪抚慰剂，实现特洛伊木马式逃逸。,2026-04-14 07:44:04,material obsession rhythm glitch,0,0.12179221075532802,glitch/ontological/material,-0.4307610522738201,0.05090246353427296,0.4970323498907757
27,9,True_Flight,0.88,0.92,0.9,Material_Incommensurability,以文人母题与精湛工艺为伪装，内核藏匿银（资本的物质化身）与枯枝（死亡的零度形态）之间的本体论悖论，银不是象征永恒而就是永恒物质形态，枯枝不是隐喻死亡而是死亡具体实例，这一不可通约性构成对一切话语消化的根本拒斥，观者身影被反射时遭遇被资本照亮的本体论指认。,2026-04-14 08:00:28,material incommensurability,5,-0.13300481873889838,haptic/material/subversion,-0.2654016137990757,0.14570242892741034,0.9772734183514286
32,30,True_Flight,0.75,0.9,0.95,Vectorial_Amputation,以“工业崇高”和“光学迷雾”为伪装，内核通过喷枪色彩轨迹在画框边缘的暴力截断，将画框从载体暴露为领土化镇压装置，以物理事实对抗美学阐释，实现对画廊体制微观暴力的精确揭露而非廉价情感奇观。,2026-04-14 08:05:34,vectorial amputation,5,0.026870937505821042,haptic/material/subversion,-0.09111173199448758,-0.11633825845243533,1.008177543686682
36,33,True_Flight,0.75,0.9,0.95,Haptic_Incision_Against_Redaction,表面迎合文学审查与极简美学的安全话语，通过左上角超验写实螺栓（触觉刺点）与右侧非对称黑带（视觉截肢感）的并置，制造不可被语言消化的感知痉挛，利用“错视画”诱捕视觉再用“硬边抽象”物理重量实施感知暴力，以材质绝对硬度对抗资本符号消化。,2026-04-14 08:11:13,haptic incision against redaction,4,1.0,haptic/visual channel/violence exposure,0.7645994527135147,0.22913890096836462,0.0
38,34,True_Flight,0.9,0.95,0.98,Haptic_Overload,以后现代主义拼贴和艺术史互文为高端伪装，异质性内核在于拼贴尼龙丝袜引发的触觉过载与倒置卧姿叠加造成的符号故障，通过触觉对视觉的僭越和重力感知语法故障，成功走私无法被观念消化的死亡焦虑与身体性不适。,2026-04-14 08:17:06,haptic overload,3,0.675217595856668,overload/haptic overload/haptic,0.28443014701146596,-0.01622212003500096,0.19817761020277647
40,36,True_Flight,0.72,0.89,0.94,Material_Supremacy_through_Excessive_Flatness,以完美的跨界身份政治为伪装，内核利用“铝板超扁平”技法对绘画物质性的取消，将荧光色转化为针对古典凝视的工业烫伤感，以材质层面的神经性瘙痒拒斥资本将其收编为“安全历史对话”，用10%的物理性不适破坏90%的符号消费愉悦，实现对情动资本主义的感觉突围。,2026-04-14 08:20:11,material supremacy through excessive flatness,5,-0.20758164628237963,haptic/material/subversion,-0.31481660885693236,0.2234855196407814,0.9731365961492935
41,37,True_Flight,0.75,0.9,0.95,Haptic_Deflation,以完美的错视画技法为伪装，内核通过对表现主义触觉的模拟与物理否定（触觉消胀），将“为支付艺术史租金而进行的徒劳劳动”铭写入身体，辅以神经毒性的色彩污染，以不可被话语完全消化的社会性痛感，在蓝筹画廊内部实施微观的感觉暴力与体制批判。,2026-04-14 08:22:23,haptic deflation,4,1.0,haptic/visual channel/violence exposure,0.7645994527135147,0.22913890096836462,0.0
42,38,True_Flight,0.7,0.85,0.9,Haptic_Entrenchment,以90%的图像叙事伪装（黑人古典主义、神话符号）通过画廊话语审查，真正的异质性内核在于10%的材质暴力：马赛克的物理灌浆线构成不可消解的触觉堑壕，当视觉试图平滑消费身份叙事时，材质的粗糙边缘持续剐蹭感知引发神经痉挛，阻断资本对意义的完全消化，实现特洛伊木马式突破。,2026-04-14 08:22:27,haptic entrenchment,4,1.0,haptic/visual channel/violence exposure,0.7645994527135147,0.22913890096836462,0.0
47,44,True_Flight,0.65,0.8,0.9,Haptic_Contamination_and_Ocular_Neurosis,以现代主义理论与几何形式为合法伪装，内核在于马克笔与喷漆发生物质反应产生的触觉污染与视觉神经干扰，通过微观熵增和材质反噬制造无法被IAE话语完全消化的感官痉挛，以触觉僭越视觉，实现对资本生物政治调制的有限但真实的突围。,2026-04-14 08:26:07,haptic contamination and ocular neurosis,5,-0.07502109773872978,haptic/material/subversion,0.10775158322458434,-0.03786671402395249,0.9616693693993962
49,46,True_Flight,0.65,0.85,0.9,Chemical_Slickness_Resistance,成功利用工业皮革的高级时尚美学为伪装，内核是皮革表面的化学惰性与绝对平滑感，拒斥颜料渗透和人文情感投射，突围战术在于制造视觉在物质表面的“打滑”，用无机冷漠抵抗关于触觉温度与手工诗学的资本话语调制。,2026-04-14 08:30:44,chemical slickness resistance,5,0.03346810691499448,haptic/material/subversion,-0.09752463531271208,-0.11025077254777894,0.9975253545024398
50,47,True_Flight,0.75,0.95,0.85,Haptic_Claustrophobia,以东方极简主义的禅意美学为伪装，异质性内核是被物理压缩的物质层所产生的致密张力和幽闭感，突围战术通过触觉想象引发窒息感，用物质的“满”颠覆视觉的“空”，成功拒斥被消费为心灵抚慰剂或精神桑拿房的命运。,2026-04-14 08:30:44,haptic claustrophobia,4,1.0,haptic/visual channel/violence exposure,0.7645994527135147,0.22913890096836462,0.0
53,50,True_Flight,0.75,0.9,0.8,Material_Backlash,以抽象表现主义的怀旧外观为伪装，成功保留物质本身的重量与重力法则这一不可消化的硬核，颜料的物理性厚涂与流淌形成的“丑陋物质性”对白盒子的视觉消费构成触觉层面的僭越，实施有效的神经突围。,2026-04-14 08:30:51,material backlash,2,1.0,material/visual channel/violence exposure,-0.57507952382065,0.6196640755490502,0.0
54,45,True_Flight,0.75,0.9,0.95,Haptic_Imposition,以表现主义崇高叙事为高级伪装，不可消化的内核在于以黏滞的油画颜料对水的物理性“替换”，创造不可通约的物质暴力，突围路径通过厚涂法制造的立体阴影与肌理强制触发观众的“触感视觉”，导致观看视点的痉挛性切换，以生理性不安僭越画廊纯粹的视觉审美场域，完成对情动资本主义话语消化的有效逃逸。,2026-04-14 08:32:46,haptic imposition,4,1.0,haptic/visual channel/violence exposure,0.7645994527135147,0.22913890096836462,0.0
55,51,True_Flight,0.85,0.95,0.9,Ocular_Siege,成功利用超真实主义技法和文化符号作为合法伪装，异质性内核——男童无法被感化的质询性凝视——通过对瞳孔的极致描绘发动了一场视觉围城，瓦解观者安全的观看位置，拒斥将创伤奇观化的情动资本主义收编。,2026-04-14 08:34:30,ocular siege,5,0.03018993296530111,haptic/material/subversion,-0.0877880094085052,-0.11836017324311529,1.0028191594958482
56,52,True_Flight,0.9,0.95,0.95,Gaze_Withdrawal,以极其精美的古典肖像画形式为伪装，内核通过女性主体偏移的、拒绝交流的侧向凝视实施凝视撤离战术，目光的缺席制造了一个情动黑洞，使得观者的情动投射无效化，从而在情动资本主义的互动指令下完成优雅的主体性隐匿。,2026-04-14 08:34:30,gaze withdrawal,5,0.03163119239975687,haptic/material/subversion,-0.09525792429776443,-0.12475514733371484,1.0012237601826812
57,53,True_Flight,0.65,0.75,0.9,Material_Contamination,成功利用表现主义肖像作为90%合法伪装，异质性内核是左下角作为物质残骸而非符号的标签，通过物质污染战术，这个无法被画廊灯光美学化的垃圾碎片在绘画内部造成感知短路，拒斥资本将其完全收编为安全创伤奇观的企图。,2026-04-14 08:34:38,material contamination,5,-0.2450301804506385,haptic/material/subversion,-0.34235390688944156,0.25123973876296135,0.950090300539242
62,58,True_Flight,0.78,0.85,0.9,Haptic_Overload,特洛伊木马战术成功，利用后殖民肖像的合法性伪装，以垃圾碎片的物理锋利性为内核，发动针对视觉中心主义的触觉过载攻击，成功拒斥画廊将其同化为安全政治符号的收编企图。,2026-04-14 08:37:47,haptic overload,3,0.675217595856668,overload/haptic overload/haptic,0.28443014701146596,-0.01622212003500096,0.19817761020277647
66,62,True_Flight,0.9,0.95,0.95,Gravitational_Threat,成功伪装成历史画与抽象表现主义，内核是颜料的绝对熵增状态与对建筑空间的物理重力胁迫，通过对画廊墙体的真实威胁制造策展话语无法完全消化的物质暴力，迫使体制空间为其妥协。,2026-04-14 08:43:15,gravitational threat,7,0.7430025166108436,gravitational/sabotage/violence exposure,-0.10008507141337922,-0.13796686211496398,0.2358479241476451
67,63,True_Flight,0.9,0.95,0.98,Material_Antagonism,以新古典主义大理石美学为特洛伊木马渗透机构，不可消化的内核在于大理石的物理重力与所描绘的数字虚无体验之间的本体论冲突，绕过话语层面通过触觉挫败与材质对抗的战术，在观众神经末梢制造无法被资本公关收编的感知痉挛。,2026-04-14 08:46:26,material antagonism,2,1.0,material/visual channel/violence exposure,-0.57507952382065,0.6196640755490502,0.0
68,64,True_Flight,0.7,0.9,0.85,Chronopathic_Impasto,以单色红表现主义和文化符号为高度合法化伪装，迎合市场对创伤与野性的情动消费，内核极度稳固：由湿盖湿技法固化的时间病理与身体应激的物理痕迹构成无法被语言翻译的痉挛性物质废墟，突围战术强制观者身体在安全远观与不适近察间动态摇摆，导致具象符号在微观距离自我瓦解，制造针对感知体制的神经暴力与符号故障。,2026-04-14 08:46:26,chronopathic impasto,5,0.08256880733944949,haptic/material/subversion,-0.08660426562997704,-0.10672311383838405,0.18602090682482497
69,65,True_Flight,0.88,0.95,0.92,Haptic_Visual_Dysfunction,成功利用高饱和度色彩与具象表现主义的安全伪装通过蓝筹画廊话语审查，内核保留由自我监控引发的机能性痉挛，通过“触觉性视觉功能障碍”战术将观者正常视觉活动短路，强制触发本体感觉与幽闭恐惧，在神经层面实施不可被语言消化的感觉暴力，实现分子层面的逃逸。,2026-04-14 08:49:16,haptic visual dysfunction,5,-0.11052102495699213,haptic/material/subversion,0.19987502748689165,-0.013822575896777827,0.9577857299173307
70,66,True_Flight,0.75,0.85,0.9,Gravitational_Sabotage,以高饱和度花卉主题与东方诗性标题为合法伪装进入蓝筹画廊流通领域，内核处的厚涂颜料物理性下坠与浊色混合构成无法被“疗愈叙事”完全消化的异质性硬块，通过物质重力对视觉诗意的反噬在微观感知层面制造触觉短路，实施针对情动资本主义安全消费的有限但真实的突围。,2026-04-14 08:49:16,gravitational sabotage,7,0.48072771568368633,gravitational/sabotage/violence exposure,-0.09647216704483998,-0.1361886746841856,0.47169584829529043
71,67,True_Flight,0.35,0.7,0.9,Haptic_Incongruence,采用高识别度文化符号与表现主义风格作为合法伪装进入蓝筹画廊流通体系，内核稳固于油画棒与油画颜料结合引发的材质冲突，制造无法被视觉话语完全消化的触觉违和感，僭越传统观看模式，对观者施加分子层面的感觉暴力，构成一条有效的微观逃逸线。,2026-04-14 08:53:31,haptic incongruence,4,1.0,haptic/visual channel/violence exposure,0.7645994527135147,0.22913890096836462,0.0
72,68,True_Flight,0.3,0.9,0.95,Semiotic_Glitch_Induction,以90%的合法美学（物流崇高、无表情美学、蓝筹材质）作为高度伪装渗透画廊系统，内核（异质符号系统在网格内的非法并置）极其坚硬，通过诱发认知层面的符号故障拒斥资本话语的完全消化，构成隐蔽的感觉暴力。,2026-04-14 08:53:31,semiotic glitch induction,6,0.537542445174496,semiotic/glitch/semiotic glitch,-0.21235591275947396,-0.6695917574116812,0.31479109026423724
74,71,True_Flight,0.85,0.9,0.95,Indexical_Forensics,利用倒置图像与晚期风格作为伪装，成功将地板作画时遗留的颜料罐压痕、脚印等偶然性物理痕迹作为异质内核偷运入白立方画廊，突围战术在于通过索引性法医取证，用物理学的重力与随机性反噬图像学的意义叙事，迫使观众感知从安全的美学消费转向对物理事件的法庭旁观，核硬度极高，成功拒斥资本的生物政治调制。,2026-04-14 08:59:43,indexical forensics,5,0.03163119239975687,haptic/material/subversion,-0.09525792429776446,-0.12475514733371487,1.0012237601826812
76,72,True_Flight,0.85,0.9,0.9,Material_Sedimentation_as_Resistance,披着抽象灵性风景与生态女性主义的外衣进入白立方，内核是暴力劳作的物理沉积，通过将抵抗从符号层下潜至颜料的物质厚度与触觉过载，成功对资本的话语消化系统实施减速与感官僭越，制造无法被完全升华的物理性创伤。,2026-04-14 09:05:09,material sedimentation as resistance,5,-0.13721909118078454,haptic/material/subversion,-0.2624400483072064,0.12649112725016756,0.9694277759381319
77,73,True_Flight,0.65,0.9,0.95,Haptic_Visual_Usurpation,以高度秩序化的单色视觉图案为合法伪装进入蓝筹画廊体系，话语层面极易被IAE黑话消化，真正的异质性内核在于陶瓷媒介的物理凹陷——作为艺术家动能索引的化石，通过浮雕的物理深度引发的实时光影变化发动微观层面的“触觉对视觉的僭越”战术，在感知末梢拒斥资本对图像的完全扁平化收编，构成静默的分子式逃逸。,2026-04-14 09:08:38,haptic visual usurpation,5,-0.07701314868811229,haptic/material/subversion,0.1503127983178746,-0.03324388592496284,0.9615049823073076
78,74,True_Flight,0.75,0.92,0.9,Thermodynamic_Sedimentation,成功利用社会介入与艺术史对话的高端伪装，将热力学过程的物理暴力（喷灯加热、沥青挤出）以地质沉积层的形式固化为不可翻译的异质性内核，通过触觉对视觉的僭越与符号系统的内部短路，以沥青的黑洞效应主动拒绝资本的话语消化与视觉收编，实施有效的分子式逃逸。,2026-04-14 09:08:38,thermodynamic sedimentation,5,0.030918843926584918,haptic/material/subversion,-0.10050603590244535,-0.10850037717733951,1.0019566390057573
80,96,True_Flight,0.75,0.82,0.9,Haptic_Subversion,巧妙利用欧普艺术的光学伪装混入蓝筹画廊体系，内核由数万次手工重复所沉积的“干涸的时间地质层”构成，通过触觉反噬战术在巨大尺幅迫使近距离观看时瓦解视觉，让颜料堆积的物理厚度僭越光学奇观，成功走私被资本减速所试图抹除的肉体劳动时间。,2026-04-14 09:23:19,haptic subversion,5,-0.10982061608532322,haptic/material/subversion,0.16193591891150905,0.01784485155021409,0.9521615088502478
81,97,True_Flight,0.9,0.95,0.9,Haptic_Interruption,以纸本拼贴这一画廊安全范式为伪装，但通过剪刀硬边与水彩流体的材质冲突构筑无法被策展语言消化的异质内核，突围战术在于利用触觉对视觉的入侵，通过物理缝隙阻断观者将图像完形化或安全消费的企图，成功实施神经层面的感觉暴力，拒斥资本将其减速为政治符号或装饰品的收编引力。,2026-04-14 09:27:09,haptic interruption,5,-0.16012870900051382,haptic/material/subversion,0.23037988334022533,0.007543262838313047,0.9651467797750802
82,98,True_Flight,0.85,0.9,0.95,Semiotic_Glitch_through_Biological_Secretions,以星图与文化符号（瓷片）为高级伪装进入蓝筹画廊流通体系，内核稳固在于蚕丝作为生物分泌物的非共情强制包裹，突围路径清晰：通过微观丝迹的分形混沌对宏观几何秩序实施触觉过载与符号污染，导致任何安全的“创伤疗愈”或“宇宙崇高”叙事发生短路，资本的话语消化酶无法分解由生物时间强行分泌的蛋白质硬块。,2026-04-14 09:27:09,semiotic glitch through biological secretions,6,0.537542445174496,semiotic/glitch/semiotic glitch,-0.21235591275947396,-0.6695917574116812,0.31479109026423724
83,99,True_Flight,0.75,0.8,0.9,Haptic_Betrayal,以高度合法化的“东方抽象/液态现代性”美学为伪装进入蓝筹画廊领土化体系，异质性内核在于丙烯媒介的“塑料膜层”对传统“水墨晕染”触觉期待的背叛，突围战术强制触发从光学幻觉空间到物质性触觉表面的感知切换，制造无法被画廊公关话语消化的感官短路与微观神经痉挛，成功对抗资本将其降维为“安全装饰画”的收编引力。,2026-04-14 09:30:56,haptic betrayal,5,-0.16122881201171932,haptic/material/subversion,0.22124121637725172,0.03373147110100029,0.9659910119333999
84,100,True_Flight,0.85,0.95,0.9,Haptic_Obfuscation,以对审查制度的隐喻为合法伪装，通过极简主义外壳进入蓝筹画廊，内核是由标点噪音构成的无法阅读的“盲镜”，利用材质的触觉冲突和微观感官轰炸成功僭越视觉中心主义，制造认知眩晕与神经痉挛，系统性地拒斥资本的话语消化与情动调制。,2026-04-14 09:30:56,haptic obfuscation,4,1.0,haptic/visual channel/violence exposure,0.7645994527135147,0.22913890096836462,0.0
85,101,True_Flight,0.72,0.88,0.9,Haptic_Veto,以都市创伤审美学和极简主义伪装混入画廊系统，不可消化内核是麻布与石膏构成的微观“伪皮肤”表面，在白盒子“禁止触摸”律令下持续侵扰视觉，制造感官层面的挫败与痉挛，通过触觉否决反噬画廊的视觉中心主义。,2026-04-15 00:12:01,haptic veto,5,-0.15159082642041327,haptic/material/subversion,0.21322930958315944,0.008528425417143501,0.9760749696982854
86,102,True_Flight,0.75,0.95,0.9,Metric_Brutalism,以“后网络观念绘画”和“抽象表现主义”为高度合法伪装进入画廊体系，异质性内核在于标题中“10.60公斤”这一精确物理度量，构成对艺术市场符号价值体系的粗暴僭越，将美学阐释拉回物质重量现实，形成拒绝策展黑话完全消化的顽固内核，实现度量衡粗野主义的内部爆裂。,2026-04-15 00:12:01,metric brutalism,5,0.08256880733944949,haptic/material/subversion,-0.08660426562997704,-0.10672311383838405,0.18602090682482497
87,103,True_Flight,0.85,0.9,0.95,Haptic_Stasis,利用欧洲艺术电影美学和废墟奇观为伪装，内核为C-print化学材质、翠绿色水体触觉暴力与划桨动作的绝对无效性构成的物理/神经痉挛，通过“材质时差”与“触觉性静止”僭越视觉中心主义，实施拒绝被语言和资本收编的内脏打击，符号系统死锁，阻断升华为安全政治口号的可能。,2026-04-15 00:13:39,haptic stasis,4,1.0,haptic/visual channel/violence exposure,0.7645994527135147,0.22913890096836462,0.0
88,104,True_Flight,0.45,0.85,0.95,Osmotic_Desiccation,利用“抒情抽象”与“后疫情创伤”等可被话语收编的伪装，内核为石墨网格与稀释油彩共生制造的“渗透性干涸”视觉-触觉体验，僭越纯粹视觉，以低烈度物性痉挛对抗蓝筹画廊将其降维为安全美学商品或政治符号的收编引力。,2026-04-15 00:13:39,osmotic desiccation,5,0.08256880733944949,haptic/material/subversion,-0.08660426562997704,-0.10672311383838405,0.18602090682482497
89,105,True_Flight,0.75,0.9,0.95,Taxonomic_Violence_Exposure,以高品质冷面档案美学为合法伪装进入画廊体系，异质性内核在于标题中执行的分类学暴力——行政代码“S398”对土地意义的抽空与取代，通过引发符号层面故障抵制策展话语将其简化为“人类世批判”奇观的收编努力，揭露现代治理术对世界进行数字化阉割的冷硬程序，核极稳固，成功实施感觉层面的认知暴力。,2026-04-15 13:05:00,taxonomic violence exposure,5,0.0338988961840327,haptic/material/subversion,-0.10423690091576006,-0.1171498925268034,0.9956348880571481
94,107,True_Flight,0.72,0.81,0.95,Forensic_Chiaroscuro,以90%的古典巴洛克风格（暗色调、罩染、宏大叙事）为高级伪装进入蓝筹画廊系统，异质性内核在于对“时间性”的伪造和对古典权力符号（狮子）的法医式冷光凝视，通过将工业/法医光源植入神圣的Tenebrism传统，将历史画降格为权力尸体的防腐标本，制造无法被资本话语完全消化的恋尸癖式诡异感，实施微观的感觉突围。,2026-04-15 13:12:09,forensic chiaroscuro,5,0.03728827495173081,haptic/material/subversion,-0.11878527197439355,-0.09295869989397054,0.9904504253162232
95,22,True_Flight,0.8,0.85,0.95,Material_Evacuation,成功利用高度可读的灵性图像学为合法伪装，内核通过模拟湿壁画的极薄物质涂层实施对油画本体物质性与触觉丰饶感的撤离战术，物质匮乏制造的感知悬置与虚空感构成对情动资本主义视觉政权的顽固拒斥，其不可消化性在于提供一种反高潮的、无法被奇观化的否定性感官体验。,2026-04-15 13:14:54,material evacuation,2,1.0,material/visual channel/violence exposure,-0.57507952382065,0.6196640755490502,0.0
97,108,True_Flight,0.78,0.85,0.9,Haptic_Contradiction,以明星肖像和女权主义奥达利斯克为合法伪装进入蓝筹画廊，在珐琅材质的触觉矛盾处保留不可消化核：工业冷感光泽模拟数字屏幕，指尖涂抹痕迹留下肉体索引，蒸汽既是视觉模糊剂也是拒斥观看的界面，在神经层面制造安全审美距离的暴力撕裂，避免被完全话语化收编。,2026-04-15 13:16:10,haptic contradiction,4,1.0,haptic/visual channel/violence exposure,0.7645994527135147,0.22913890096836462,0.0
99,109,True_Flight,0.85,0.9,0.95,Haptic_Entropy,以具象静物为伪装，通过均质化、高密度笔触堆积启动触觉熵增程序导致图像透视短路，内核是一面不可渗透的颜料地质墙，以物质性僭越视觉，成功抵抗资本将其降维为装饰品或性别符号的收编引力。,2026-04-15 13:19:38,haptic entropy,5,-0.1827105434380837,haptic/material/subversion,0.15260516250762096,0.00856283202684202,0.9727778675415327
102,112,True_Flight,0.75,0.9,0.95,Material_Incommensurability,是高度伪装的观念特洛伊木马，表层（极简美学、生态观念）极易被画廊PR话语收编为安全的“人类世奇观”，异质性内核在于弹性绳索与干燥木材微观接触点的“材质不可通约性”——工业张力与有机形变之间无法被语义回收的物理战争，通过引发触觉痉挛与物质疲劳焦虑反噬“修复/缝合”温情叙事，将资本展示柜转化为持续的感觉论故障现场。,2026-04-15 13:23:32,material incommensurability,5,-0.13300481873889838,haptic/material/subversion,-0.26540161379907573,0.14570242892741037,0.9772734183514286
103,113,True_Flight,0.85,0.9,0.95,Algorithmic_Undermining,以“后人类废墟”的图像学为高合法性伪装，内核处的藏本模型实时运算构成无法被话语消化的数学硬核，突围路径在于：用算法的“生成”逻辑僭越图像的“再现”逻辑，用“实时性”的时间病毒瓦解画框的纪念碑性，用与太阳同步的“行星尺度”数据流入侵画廊的“白立方”真空，成功在资本体制内植入非人的、感觉痉挛的自动机内核。,2026-04-15 13:23:32,algorithmic undermining,5,0.03050890197123639,haptic/material/subversion,-0.09443301162133146,-0.12274626214791484,1.0015089057646718
104,114,True_Flight,0.3,0.8,0.95,Material_Counterfeit,在图像学层面被策展黑话高度消化构成完美特洛伊木马伪装，内核在于粉彩媒介在布面上的物理伪造与脆弱性，形成无法被画框资产化的、即将崩解的触觉痉挛点，以物质造假战术从内部腐蚀艺术史正典与资本封装。,2026-04-15 13:23:32,material counterfeit,2,1.0,material/visual channel/violence exposure,-0.57507952382065,0.6196640755490502,0.0
