Artwork_Id,Verdict_Type,Indigestibility_Score,Core_Stability,Camouflage_Quality,Breakthrough_Strategy,Diagnostic_Logic
31,False_Flight,0.15,0.1,0.98,Domesticated_Spectacle,利用“创伤-疗愈”传记叙事与“反虚空”话语建构为伪装，恐空症构图与高饱和色彩均为迎合情动资本主义市场的表演性操作，异质性内核完全涣散，笔触物理性被色彩心理学彻底招安，沦为供中产阶级安全消费的情绪设计品。
32,False_Flight,0.05,0,1,Domesticated_Spectacle,该作品是情动资本主义的完美标本，以挪用北斋巨浪为伪装，内核为彻底的审美空洞，工业级光洁表面与扁平化符号使其完全适配画廊话语消化机制与豪宅装饰需求，成为一件安全的、供中产阶级消费的“伪崇高”奇观，毫无逃逸路径，核稳固度为0。
33,True_Flight,0.75,0.9,0.95,Haptic_Incision_Against_Redaction,表面迎合文学审查与极简美学的安全话语，通过左上角超验写实螺栓（触觉刺点）与右侧非对称黑带（视觉截肢感）的并置，制造不可被语言消化的感知痉挛，利用“错视画”诱捕视觉再用“硬边抽象”物理重量实施感知暴力，以材质绝对硬度对抗资本符号消化。
34,True_Flight,0.9,0.95,0.98,Haptic_Overload,以后现代主义拼贴和艺术史互文为高端伪装，异质性内核在于拼贴尼龙丝袜引发的触觉过载与倒置卧姿叠加造成的符号故障，通过触觉对视觉的僭越和重力感知语法故障，成功走私无法被观念消化的死亡焦虑与身体性不适。
35,False_Flight,0.05,0.1,0.99,Domesticated_Spectacle,将“坏画”的历史反叛降维为安全的高级装饰风格，高饱和色彩与“屏幕光度”完美适配蓝筹画廊展墙与社交媒体传播，表面混乱实为被资本话语100%消化的表演性情动，缺乏任何能制造神经痉挛或抵抗话语收编的异质性内核。
36,True_Flight,0.72,0.89,0.94,Material_Supremacy_through_Excessive_Flatness,以完美的跨界身份政治为伪装，内核利用“铝板超扁平”技法对绘画物质性的取消，将荧光色转化为针对古典凝视的工业烫伤感，以材质层面的神经性瘙痒拒斥资本将其收编为“安全历史对话”，用10%的物理性不适破坏90%的符号消费愉悦，实现对情动资本主义的感觉突围。
37,True_Flight,0.75,0.9,0.95,Haptic_Deflation,以完美的错视画技法为伪装，内核通过对表现主义触觉的模拟与物理否定（触觉消胀），将“为支付艺术史租金而进行的徒劳劳动”铭写入身体，辅以神经毒性的色彩污染，以不可被话语完全消化的社会性痛感，在蓝筹画廊内部实施微观的感觉暴力与体制批判。
38,True_Flight,0.7,0.85,0.9,Haptic_Entrenchment,以90%的图像叙事伪装（黑人古典主义、神话符号）通过画廊话语审查，真正的异质性内核在于10%的材质暴力：马赛克的物理灌浆线构成不可消解的触觉堑壕，当视觉试图平滑消费身份叙事时，材质的粗糙边缘持续剐蹭感知引发神经痉挛，阻断资本对意义的完全消化，实现特洛伊木马式突破。
39,False_Flight,0.15,0.1,0.98,Domesticated_Spectacle,该作品通过极简几何图形和“元具象”理论完美伪装成高深艺术品，但异质性内核已完全涣散，彩色铅笔的脆弱手感被博物馆装裱窒息，沦为安全的装饰性资产，IAE话语消化率极高，无任何突围迹象。
40,False_Flight,0.12,0.05,0.98,Domesticated_Spectacle,作为双联画的变奏部分，7个三角形的排列加剧沦为“视觉图元库”的风险，对有机形态的几何规训被收编为温和的现代主义趣味，缺乏对感知的暴力侵入，核已坏死，完全符合情动资本主义的潮流商品属性。
41,False_Flight,0.1,0,1,Domesticated_Spectacle,通过工业平滑美学和诗意的云层意象，将数字时代的身份焦虑包装为安全、深刻的观念奇观，二元对立（工业/有机）是市场定价的风格配方，所谓“遮蔽”的暴力行为已被完全美学化，无法构成任何神经层面的感觉暴力，核已涣散，被资本话语消化酶彻底分解，是情动资本主义潮流下完美的装饰性商品。
42,False_Flight,0.15,0.1,0.95,Domesticated_Spectacle,作品将二元分裂的痛感奇观化，利用基里姆材质光晕和极简主义构图，完美适配画廊的后殖民-物质性话语，内核涣散，张力被“宁静”标题中和，沦为高级装饰挂毯。
43,False_Flight,0.1,0.05,0.98,Domesticated_Spectacle,作品将忧郁情绪商品化，流体美学与伪文字符号构成安全的智力陷阱，内核完全涣散，情感表达沦为可精确调配的风格化图解，是典型的情动资本主义潮流盲盒。
44,True_Flight,0.65,0.8,0.9,Haptic_Contamination_and_Ocular_Neurosis,以现代主义理论与几何形式为合法伪装，内核在于马克笔与喷漆发生物质反应产生的触觉污染与视觉神经干扰，通过微观熵增和材质反噬制造无法被IAE话语完全消化的感官痉挛，以触觉僭越视觉，实现对资本生物政治调制的有限但真实的突围。
45,True_Flight,0.75,0.9,0.95,Haptic_Imposition,以表现主义崇高叙事为高级伪装，不可消化的内核在于以黏滞的油画颜料对水的物理性“替换”，创造不可通约的物质暴力，突围路径通过厚涂法制造的立体阴影与肌理强制触发观众的“触感视觉”，导致观看视点的痉挛性切换，以生理性不安僭越画廊纯粹的视觉审美场域，完成对情动资本主义话语消化的有效逃逸。
46,True_Flight,0.65,0.85,0.9,Chemical_Slickness_Resistance,成功利用工业皮革的高级时尚美学为伪装，内核是皮革表面的化学惰性与绝对平滑感，拒斥颜料渗透和人文情感投射，突围战术在于制造视觉在物质表面的“打滑”，用无机冷漠抵抗关于触觉温度与手工诗学的资本话语调制。
47,True_Flight,0.75,0.95,0.85,Haptic_Claustrophobia,以东方极简主义的禅意美学为伪装，异质性内核是被物理压缩的物质层所产生的致密张力和幽闭感，突围战术通过触觉想象引发窒息感，用物质的“满”颠覆视觉的“空”，成功拒斥被消费为心灵抚慰剂或精神桑拿房的命运。
48,False_Flight,0.2,0.15,0.7,Domesticated_Spectacle,动机在于迎合，完美契合资本对“东方怀古”和“跨文化对话”的消费需求，内核涣散，古法手工纸的“慢时间”与“脆弱性”被安全编码为可流通的风格，未形成有效突围战术，痛感被彻底奇观化，心甘情愿被领土化为安全的文化商品。
49,False_Flight,0.05,0.1,0.95,Domesticated_Spectacle,完美地将数字焦虑奇观化为色彩愉悦的装饰性网格，内核已被IAE话语完全溶解，未能制造任何无法被理论消化的痉挛剩余物，是典型的迎合情动资本主义市场的潮流商品。
50,True_Flight,0.75,0.9,0.8,Material_Backlash,以抽象表现主义的怀旧外观为伪装，成功保留物质本身的重量与重力法则这一不可消化的硬核，颜料的物理性厚涂与流淌形成的“丑陋物质性”对白盒子的视觉消费构成触觉层面的僭越，实施有效的神经突围。
51,True_Flight,0.85,0.95,0.9,Ocular_Siege,成功利用超真实主义技法和文化符号作为合法伪装，异质性内核——男童无法被感化的质询性凝视——通过对瞳孔的极致描绘发动了一场视觉围城，瓦解观者安全的观看位置，拒斥将创伤奇观化的情动资本主义收编。
52,True_Flight,0.9,0.95,0.95,Gaze_Withdrawal,以极其精美的古典肖像画形式为伪装，内核通过女性主体偏移的、拒绝交流的侧向凝视实施凝视撤离战术，目光的缺席制造了一个情动黑洞，使得观者的情动投射无效化，从而在情动资本主义的互动指令下完成优雅的主体性隐匿。
53,True_Flight,0.65,0.75,0.9,Material_Contamination,成功利用表现主义肖像作为90%合法伪装，异质性内核是左下角作为物质残骸而非符号的标签，通过物质污染战术，这个无法被画廊灯光美学化的垃圾碎片在绘画内部造成感知短路，拒斥资本将其完全收编为安全创伤奇观的企图。
54,False_Flight,0.25,0.4,0.95,Domesticated_Spectacle,以90%以上的风格化伪装（矫饰主义长颈、纪念碑构图）进入市场，试图通过符号耗竭战术突围但内核趋于涣散，标题与形式的重复未能产生不可消化的痉挛，反而极易被话语系统美学化为高深莫测的风格，痛苦已被奇观化，成为情动资本主义的高级潮流盲盒。
55,False_Flight,0.1,0,0.95,Domesticated_Spectacle,利用波普符号伪装出对“商品化自我”的批判，但光滑的工业材质与卡通化形象已将异质性痛感抛光，画廊公关话语可100%无碍地消化为“机智的后现代寓言”，内核空洞，是情动资本主义的完美标本。
56,False_Flight,0.15,0,0.95,Domesticated_Spectacle,以古典艺术和“征服恐惧”叙事为伪装，章鱼作为异质性他者的缠绕与窒息感被龙虾的拟人化胜利姿态和糖果色彩完全消解，恐惧被降维为可穿戴的“皮肤”，作品自愿接受画廊领土化，成为供人合影的奇观装置。
57,False_Flight,0.15,0.05,0.95,Domesticated_Spectacle,内核涣散，材料的刺痛感被几何美学与廉价的蝴蝶隐喻完全驯化，成功被降维为安全的异域装饰奇观，对资本话语消化机制的抵抗率为零。
58,True_Flight,0.78,0.85,0.9,Haptic_Overload,特洛伊木马战术成功，利用后殖民肖像的合法性伪装，以垃圾碎片的物理锋利性为内核，发动针对视觉中心主义的触觉过载攻击，成功拒斥画廊将其同化为安全政治符号的收编企图。
59,False_Flight,0.05,0,1,Domesticated_Spectacle,该作品是纯粹的情动商品，“恐怖真空”的焦虑内核已被“爱”的叙事和糖果色美学完全消解，沦为一件供中产阶级安全消费的视觉甜品与情绪抚慰剂，PR话语消化率为100%。
60,False_Flight,0.15,0.1,0.95,Self_Mythologizing_Spectacle,以“生产”为幌子实为艺术家的自我神话，将强迫性劳动的异化痛感巧妙转化为关于创造性玩乐的浪漫叙事，并主动与波普艺术史对接以获取体制合法性，内核主动涣散以服务品牌构建。
61,False_Flight,0.1,0,1,Kawaii_Appropriation,是对“潜意识”与“冒险”概念的扁平化挪用，通过“可爱”美学无害化处理将不确定的流体固化为可控的符号游乐场，是一场模拟的深度体验，一个服务于品牌宇宙扩展的IP包，毫无逃逸之力。
62,True_Flight,0.9,0.95,0.95,Gravitational_Threat,成功伪装成历史画与抽象表现主义，内核是颜料的绝对熵增状态与对建筑空间的物理重力胁迫，通过对画廊墙体的真实威胁制造策展话语无法完全消化的物质暴力，迫使体制空间为其妥协。
63,True_Flight,0.9,0.95,0.98,Material_Antagonism,以新古典主义大理石美学为特洛伊木马渗透机构，不可消化的内核在于大理石的物理重力与所描绘的数字虚无体验之间的本体论冲突，绕过话语层面通过触觉挫败与材质对抗的战术，在观众神经末梢制造无法被资本公关收编的感知痉挛。
64,True_Flight,0.7,0.9,0.85,Chronopathic_Impasto,以单色红表现主义和文化符号为高度合法化伪装，迎合市场对创伤与野性的情动消费，内核极度稳固：由湿盖湿技法固化的时间病理与身体应激的物理痕迹构成无法被语言翻译的痉挛性物质废墟，突围战术强制观者身体在安全远观与不适近察间动态摇摆，导致具象符号在微观距离自我瓦解，制造针对感知体制的神经暴力与符号故障。
65,True_Flight,0.88,0.95,0.92,Haptic_Visual_Dysfunction,成功利用高饱和度色彩与具象表现主义的安全伪装通过蓝筹画廊话语审查，内核保留由自我监控引发的机能性痉挛，通过“触觉性视觉功能障碍”战术将观者正常视觉活动短路，强制触发本体感觉与幽闭恐惧，在神经层面实施不可被语言消化的感觉暴力，实现分子层面的逃逸。
66,True_Flight,0.75,0.85,0.9,Gravitational_Sabotage,以高饱和度花卉主题与东方诗性标题为合法伪装进入蓝筹画廊流通领域，内核处的厚涂颜料物理性下坠与浊色混合构成无法被“疗愈叙事”完全消化的异质性硬块，通过物质重力对视觉诗意的反噬在微观感知层面制造触觉短路，实施针对情动资本主义安全消费的有限但真实的突围。
67,True_Flight,0.35,0.7,0.9,Haptic_Incongruence,采用高识别度文化符号与表现主义风格作为合法伪装进入蓝筹画廊流通体系，内核稳固于油画棒与油画颜料结合引发的材质冲突，制造无法被视觉话语完全消化的触觉违和感，僭越传统观看模式，对观者施加分子层面的感觉暴力，构成一条有效的微观逃逸线。
68,True_Flight,0.3,0.9,0.95,Semiotic_Glitch_Induction,以90%的合法美学（物流崇高、无表情美学、蓝筹材质）作为高度伪装渗透画廊系统，内核（异质符号系统在网格内的非法并置）极其坚硬，通过诱发认知层面的符号故障拒斥资本话语的完全消化，构成隐蔽的感觉暴力。
69,False_Flight,0.05,0.1,0.95,Domesticated_Spectacle,核已涣散，霓虹灯工业技术将文本中的绝望悖论熨烫为平滑的情感消费品，粉色光晕与手写体伪装成“真情”，实则被资本话语完全消化，沦为安全的情感抚慰剂和装饰奇观。
70,False_Flight,0.05,0,0.98,Domesticated_Spectacle,通过金箔与厚涂技法完美实现对“神圣性”与“痛感”的奇观化包装，物质性与符号系统100%兼容于蓝筹画廊的资本话语，未发现任何不可消化的异质性内核，突围路径阙如，动机判定为迎合情动资本主义市场，是典型的核已涣散的克分子商品。
71,True_Flight,0.85,0.9,0.95,Indexical_Forensics,利用倒置图像与晚期风格作为伪装，成功将地板作画时遗留的颜料罐压痕、脚印等偶然性物理痕迹作为异质内核偷运入白立方画廊，突围战术在于通过索引性法医取证，用物理学的重力与随机性反噬图像学的意义叙事，迫使观众感知从安全的美学消费转向对物理事件的法庭旁观，核硬度极高，成功拒斥资本的生物政治调制。
72,True_Flight,0.85,0.9,0.9,Material_Sedimentation_as_Resistance,披着抽象灵性风景与生态女性主义的外衣进入白立方，内核是暴力劳作的物理沉积，通过将抵抗从符号层下潜至颜料的物质厚度与触觉过载，成功对资本的话语消化系统实施减速与感官僭越，制造无法被完全升华的物理性创伤。
73,True_Flight,0.65,0.9,0.95,Haptic_Visual_Usurpation,以高度秩序化的单色视觉图案为合法伪装进入蓝筹画廊体系，话语层面极易被IAE黑话消化，真正的异质性内核在于陶瓷媒介的物理凹陷——作为艺术家动能索引的化石，通过浮雕的物理深度引发的实时光影变化发动微观层面的“触觉对视觉的僭越”战术，在感知末梢拒斥资本对图像的完全扁平化收编，构成静默的分子式逃逸。
74,True_Flight,0.75,0.92,0.9,Thermodynamic_Sedimentation,成功利用社会介入与艺术史对话的高端伪装，将热力学过程的物理暴力（喷灯加热、沥青挤出）以地质沉积层的形式固化为不可翻译的异质性内核，通过触觉对视觉的僭越与符号系统的内部短路，以沥青的黑洞效应主动拒绝资本的话语消化与视觉收编，实施有效的分子式逃逸。
75,True_Flight,0.72,0.95,0.9,Material_Entropy,以抽象表现主义手势与色彩为伪装，通过极端厚涂引发的数十年物理熵增过程（颜料内部缓慢流动与氧化），利用物质不可控衰变从内部瓦解资本对“静态资产”的领土化。
78,False_Flight,0.05,0.1,1,Domesticated_Spectacle,完美展示了“情动资本主义”的收编机制，表面的“东方宇宙观”和“视触觉流变”完全可被IAE策展黑话平滑消化成为供中产阶级安全消费的痛感奇观，物质性的“微浮雕”触感被视觉审美化，内核的批判性张力已涣散为安全无害的“晚期风格”，未进行任何有效的战术突围，主动迎合资本的领土化需求。
96,True_Flight,0.75,0.82,0.9,Haptic_Subversion,巧妙利用欧普艺术的光学伪装混入蓝筹画廊体系，内核由数万次手工重复所沉积的“干涸的时间地质层”构成，通过触觉反噬战术在巨大尺幅迫使近距离观看时瓦解视觉，让颜料堆积的物理厚度僭越光学奇观，成功走私被资本减速所试图抹除的肉体劳动时间。
97,True_Flight,0.9,0.95,0.9,Haptic_Interruption,以纸本拼贴这一画廊安全范式为伪装，但通过剪刀硬边与水彩流体的材质冲突构筑无法被策展语言消化的异质内核，突围战术在于利用触觉对视觉的入侵，通过物理缝隙阻断观者将图像完形化或安全消费的企图，成功实施神经层面的感觉暴力，拒斥资本将其减速为政治符号或装饰品的收编引力。
98,True_Flight,0.85,0.9,0.95,Semiotic_Glitch_through_Biological_Secretions,以星图与文化符号（瓷片）为高级伪装进入蓝筹画廊流通体系，内核稳固在于蚕丝作为生物分泌物的非共情强制包裹，突围路径清晰：通过微观丝迹的分形混沌对宏观几何秩序实施触觉过载与符号污染，导致任何安全的“创伤疗愈”或“宇宙崇高”叙事发生短路，资本的话语消化酶无法分解由生物时间强行分泌的蛋白质硬块。
99,True_Flight,0.75,0.8,0.9,Haptic_Betrayal,以高度合法化的“东方抽象/液态现代性”美学为伪装进入蓝筹画廊领土化体系，异质性内核在于丙烯媒介的“塑料膜层”对传统“水墨晕染”触觉期待的背叛，突围战术强制触发从光学幻觉空间到物质性触觉表面的感知切换，制造无法被画廊公关话语消化的感官短路与微观神经痉挛，成功对抗资本将其降维为“安全装饰画”的收编引力。
100,True_Flight,0.8,0.9,0.9,Semiotic_Glitch,利用极简图式与冷抽象的合法伪装，在内核处保留强迫症式手工抹除与无语义神经痉挛，通过符号故障拒斥画廊将其降维为唯美装饰品的收编企图。
100,True_Flight,0.85,0.95,0.9,Haptic_Obfuscation,以对审查制度的隐喻为合法伪装，通过极简主义外壳进入蓝筹画廊，内核是由标点噪音构成的无法阅读的“盲镜”，利用材质的触觉冲突和微观感官轰炸成功僭越视觉中心主义，制造认知眩晕与神经痉挛，系统性地拒斥资本的话语消化与情动调制。
101,True_Flight,0.72,0.88,0.9,Haptic_Veto,以都市创伤审美学和极简主义伪装混入画廊系统，不可消化内核是麻布与石膏构成的微观“伪皮肤”表面，在白盒子“禁止触摸”律令下持续侵扰视觉，制造感官层面的挫败与痉挛，通过触觉否决反噬画廊的视觉中心主义。
102,True_Flight,0.75,0.95,0.9,Metric_Brutalism,以“后网络观念绘画”和“抽象表现主义”为高度合法伪装进入画廊体系，异质性内核在于标题中“10.60公斤”这一精确物理度量，构成对艺术市场符号价值体系的粗暴僭越，将美学阐释拉回物质重量现实，形成拒绝策展黑话完全消化的顽固内核，实现度量衡粗野主义的内部爆裂。
103,True_Flight,0.85,0.9,0.95,Haptic_Stasis,利用欧洲艺术电影美学和废墟奇观为伪装，内核为C-print化学材质、翠绿色水体触觉暴力与划桨动作的绝对无效性构成的物理/神经痉挛，通过“材质时差”与“触觉性静止”僭越视觉中心主义，实施拒绝被语言和资本收编的内脏打击，符号系统死锁，阻断升华为安全政治口号的可能。
104,True_Flight,0.45,0.85,0.95,Osmotic_Desiccation,利用“抒情抽象”与“后疫情创伤”等可被话语收编的伪装，内核为石墨网格与稀释油彩共生制造的“渗透性干涸”视觉-触觉体验，僭越纯粹视觉，以低烈度物性痉挛对抗蓝筹画廊将其降维为安全美学商品或政治符号的收编引力。
105,True_Flight,0.75,0.9,0.95,Taxonomic_Violence_Exposure,以高品质冷面档案美学为合法伪装进入画廊体系，异质性内核在于标题中执行的分类学暴力——行政代码“S398”对土地意义的抽空与取代，通过引发符号层面故障抵制策展话语将其简化为“人类世批判”奇观的收编努力，揭露现代治理术对世界进行数字化阉割的冷硬程序，核极稳固，成功实施感觉层面的认知暴力。
106,False_Flight,0.3,0.4,0.95,Haptic_Seduction_Denied,伪装成对童年创伤的心理建筑学探讨，成功被蓝筹画廊话语收编，内核仅存微弱的材质悖论（果冻质感与工业轴承冲突）引发的触觉短路，但远不足以构成对情动资本主义的有效突围，最终沦为精致的、可供安全消费的“痛感装饰画”。
107,True_Flight,0.72,0.81,0.95,Forensic_Chiaroscuro,以90%的古典巴洛克风格（暗色调、罩染、宏大叙事）为高级伪装进入蓝筹画廊系统，异质性内核在于对“时间性”的伪造和对古典权力符号（狮子）的法医式冷光凝视，通过将工业/法医光源植入神圣的Tenebrism传统，将历史画降格为权力尸体的防腐标本，制造无法被资本话语完全消化的恋尸癖式诡异感，实施微观的感觉突围。
108,True_Flight,0.78,0.85,0.9,Haptic_Contradiction,以明星肖像和女权主义奥达利斯克为合法伪装进入蓝筹画廊，在珐琅材质的触觉矛盾处保留不可消化核：工业冷感光泽模拟数字屏幕，指尖涂抹痕迹留下肉体索引，蒸汽既是视觉模糊剂也是拒斥观看的界面，在神经层面制造安全审美距离的暴力撕裂，避免被完全话语化收编。
109,True_Flight,0.85,0.9,0.95,Haptic_Entropy,以具象静物为伪装，通过均质化、高密度笔触堆积启动触觉熵增程序导致图像透视短路，内核是一面不可渗透的颜料地质墙，以物质性僭越视觉，成功抵抗资本将其降维为装饰品或性别符号的收编引力。
110,False_Flight,0.2,0.1,0.9,Domesticated_Spectacle,通过宏大的废墟美学与东方诗学并置伪装成对文化霸权和消费主义的批判，但所有视觉符号均能被IAE话语完美翻译和消化，内核无任何拒斥解读的痉挛点，图表灾难已沦为市场认可的风格标签，未能构成实质性突围，被判为供中产阶级安全消费的情动资本主义商品。
111,False_Flight,0.3,0.2,0.85,Domesticated_Spectacle,以多巴胺色彩和反凝视姿态为幌子试图提供后人类感官起义，但“反凝视”的奇观被话语系统迅速收编为安全的政治姿态，视觉触感被转化为对消费品的恋物式抚摸，苏轼词句进一步将其减速为情绪抚慰剂，内核涣散，突围失败，被判为潮流盲盒。
112,True_Flight,0.75,0.9,0.95,Material_Incommensurability,是高度伪装的观念特洛伊木马，表层（极简美学、生态观念）极易被画廊PR话语收编为安全的“人类世奇观”，异质性内核在于弹性绳索与干燥木材微观接触点的“材质不可通约性”——工业张力与有机形变之间无法被语义回收的物理战争，通过引发触觉痉挛与物质疲劳焦虑反噬“修复/缝合”温情叙事，将资本展示柜转化为持续的感觉论故障现场。
113,True_Flight,0.85,0.9,0.95,Algorithmic_Undermining,以“后人类废墟”的图像学为高合法性伪装，内核处的藏本模型实时运算构成无法被话语消化的数学硬核，突围路径在于：用算法的“生成”逻辑僭越图像的“再现”逻辑，用“实时性”的时间病毒瓦解画框的纪念碑性，用与太阳同步的“行星尺度”数据流入侵画廊的“白立方”真空，成功在资本体制内植入非人的、感觉痉挛的自动机内核。
114,True_Flight,0.3,0.8,0.95,Material_Counterfeit,在图像学层面被策展黑话高度消化构成完美特洛伊木马伪装，内核在于粉彩媒介在布面上的物理伪造与脆弱性，形成无法被画框资产化的、即将崩解的触觉痉挛点，以物质造假战术从内部腐蚀艺术史正典与资本封装。
